game_id,date,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_era,home_pitcher_k9,away_pitcher_era,away_pitcher_k9,yrfi
662701,2022-04-15,Kansas City Royals,Detroit Tigers,Brad Keller,Tarik Skubal,5.225806451612904,7.838709677419356,4.0,11.0,0
662960,2022-04-15,Colorado Rockies,Chicago Cubs,Germán Márquez,Marcus Stroman,2.25,9.75,1.8,5.3999999999999995,0
663136,2022-04-15,Cleveland Guardians,San Francisco Giants,Zach Plesac,Carlos Rodón,0.0,7.269230769230768,1.8,21.599999999999998,0
663265,2022-04-15,Boston Red Sox,Minnesota Twins,Nick Pivetta,Joe Ryan,4.21875,8.4375,4.5,9.0,1
663357,2022-04-15,Baltimore Orioles,New York Yankees,Jordan Lyles,Jordan Montgomery,6.3,3.6,8.1,10.799999999999999,0
661335,2022-04-16,Milwaukee Brewers,St. Louis Cardinals,Adrian Houser,Steven Matz,1.8620689655172413,6.517241379310345,3.2033898305084745,7.627118644067796,0
661416,2022-04-16,Miami Marlins,Philadelphia Phillies,Trevor Rogers,Ranger Suárez,3.724137931034482,5.586206896551723,5.3999999999999995,5.3999999999999995,1
661527,2022-04-16,Chicago White Sox,Tampa Bay Rays,Michael Kopech,Corey Kluber,4.5,6.0,0.9310344827586206,8.379310344827585,1
661759,2022-04-16,Toronto Blue Jays,Oakland Athletics,Hyun Jin Ryu,Paul Blackburn,16.2,10.799999999999999,5.625,10.125,1
661981,2022-04-16,Texas Rangers,Los Angeles Angels,Taylor Hearn,Noah Syndergaard,4.320000000000001,12.96,0.870967741935484,6.967741935483872,0
662206,2022-04-16,Seattle Mariners,Houston Astros,Chris Flexen,Justin Verlander,10.8,7.5600000000000005,2.6999999999999997,10.799999999999999,0
662235,2022-04-16,San Diego Padres,Atlanta Braves,Nick Martinez,Ian Anderson,3.6,11.700000000000001,9.529411764705882,3.1764705882352944,1
662290,2022-04-16,Pittsburgh Pirates,Washington Nationals,Bryse Wilson,Josh Rogers,5.869565217391305,10.56521739130435,1.2272727272727275,3.6818181818181825,0
662619,2022-04-16,Los Angeles Dodgers,Cincinnati Reds,Julio Urías,Hunter Greene,18.0,2.25,5.0,11.0,0
662626,2022-04-16,New York Mets,Arizona Diamondbacks,Carlos Carrasco,Zac Gallen,2.6999999999999997,9.0,2.454545454545454,4.909090909090908,0
662798,2022-04-16,Kansas City Royals,Detroit Tigers,Kris Bubic,Matt Manning,67.5,0.0,1.741935483870968,3.483870967741936,1
662966,2022-04-16,Colorado Rockies,Chicago Cubs,Antonio Senzatela,Mark Leiter Jr.,2.6999999999999997,0.0,0.0,3.0,0
663076,2022-04-16,Cleveland Guardians,San Francisco Giants,Cal Quantrill,Anthony DeSclafani,4.153846153846154,4.153846153846154,2.1599999999999997,14.04,1
663238,2022-04-16,Boston Red Sox,Minnesota Twins,Tanner Houck,Sonny Gray,4.821428571428571,9.642857142857142,2.0769230769230766,10.384615384615383,0
663266,2022-04-16,Baltimore Orioles,New York Yankees,Tyler Wells,Jameson Taillon,6.750000000000001,15.187500000000002,3.6,10.799999999999999,0
661226,2022-04-17,Milwaukee Brewers,St. Louis Cardinals,Aaron Ashby,Dakota Hudson,3.673469387755102,15.428571428571427,6.75,9.0,1
661415,2022-04-17,Miami Marlins,Philadelphia Phillies,Elieser Hernández,Zack Wheeler,6.352941176470589,9.529411764705882,1.9285714285714284,5.7857142857142865,0
661462,2022-04-17,Chicago White Sox,Tampa Bay Rays,Vince Velasquez,J.P. Feyereisen,4.263157894736842,9.947368421052632,0.0,10.384615384615385,1
661804,2022-04-17,Toronto Blue Jays,Oakland Athletics,Alek Manoah,Adam Oller,0.0,9.28125,14.538461538461538,16.615384615384617,1
662038,2022-04-17,Texas Rangers,Los Angeles Angels,Martín Pérez,José Suarez,6.75,4.5,6.75,5.625,1
662174,2022-04-17,Seattle Mariners,Houston Astros,Matt Brash,José Urquidy,2.7931034482758625,10.241379310344827,0.9,1.8,1
662234,2022-04-17,San Diego Padres,Atlanta Braves,Yu Darvish,Bryce Elder,8.250000000000002,6.750000000000001,2.612903225806451,5.225806451612902,0
662294,2022-04-17,Pittsburgh Pirates,Washington Nationals,Jose Quintana,Patrick Corbin,2.8928571428571432,3.8571428571428577,10.799999999999999,9.450000000000001,0
662618,2022-04-17,Los Angeles Dodgers,Cincinnati Reds,Andrew Heaney,Tyler Mahle,0.0,10.384615384615383,4.153846153846154,10.384615384615383,0
662625,2022-04-17,New York Mets,Arizona Diamondbacks,David Peterson,Humberto Castellanos,0.0,6.75,3.6,7.2,0
662700,2022-04-17,Kansas City Royals,Detroit Tigers,Carlos Hernández,Tyler Alexander,10.285714285714285,5.142857142857142,2.8928571428571432,8.67857142857143,0
662930,2022-04-17,Colorado Rockies,Chicago Cubs,Austin Gomber,Drew Smyly,6.23076923076923,8.307692307692307,2.8421052631578947,5.684210526315789,1
663132,2022-04-17,Cleveland Guardians,San Francisco Giants,Aaron Civale,Alex Wood,4.263157894736842,9.947368421052632,7.043478260869566,9.39130434782609,0
663308,2022-04-17,Boston Red Sox,Minnesota Twins,Michael Wacha,Bailey Ober,7.5600000000000005,10.8,4.0,7.0,0
663365,2022-04-17,Baltimore Orioles,New York Yankees,Bruce Zimmermann,Nestor Cortes,5.142857142857142,9.0,0.0,11.36842105263158,0
661242,2022-04-18,Milwaukee Brewers,Pittsburgh Pirates,Eric Lauer,Zach Thompson,6.230769230769231,10.384615384615383,3.375,6.75,1
662233,2022-04-18,San Diego Padres,Cincinnati Reds,Sean Manaea,Nick Lodolo,1.6199999999999999,9.18,7.875,7.875,1
662407,2022-04-18,Oakland Athletics,Baltimore Orioles,Frankie Montas,Spenser Watkins,4.764705882352941,9.529411764705882,3.0,6.0,1
662587,2022-04-18,Washington Nationals,Arizona Diamondbacks,Josiah Gray,Madison Bumgarner,5.926829268292683,10.536585365853657,1.3846153846153846,6.923076923076923,0
662616,2022-04-18,New York Mets,San Francisco Giants,Tylor Megill,Alex Cobb,0.0,9.580645161290324,3.0,16.0,0
662617,2022-04-18,Los Angeles Dodgers,Atlanta Braves,Clayton Kershaw,Huascar Ynoa,0.8181818181818182,15.545454545454545,8.217391304347826,8.217391304347826,1
662928,2022-04-18,Houston Astros,Los Angeles Angels,Luis Garcia,Michael Lorenzen,0.0,8.217391304347826,3.375,9.28125,1
662929,2022-04-18,Colorado Rockies,Philadelphia Phillies,Chad Kuhl,Aaron Nola,2.076923076923077,10.384615384615383,4.909090909090908,12.886363636363637,0
663087,2022-04-18,Cleveland Guardians,Chicago White Sox,Shane Bieber,Dallas Keuchel,4.05,10.125,9.310344827586206,8.379310344827585,0
663197,2022-04-18,Chicago Cubs,Tampa Bay Rays,Kyle Hendricks,Shane McClanahan,8.100000000000001,8.100000000000001,3.461538461538462,14.53846153846154,0
663236,2022-04-18,Boston Red Sox,Minnesota Twins,Rich Hill,Dylan Bundy,13.5,5.625,0.0,3.6,1
661211,2022-04-19,Milwaukee Brewers,Pittsburgh Pirates,Corbin Burnes,JT Brubaker,2.0,9.0,5.128491620111731,7.843575418994413,0
